Timestamp,Temperature,Humidity,AirQuality,Dust,Source,Temp_Hum_Index,Air_Dust_Product,AirQuality_Log,Dust_Log,Air_Dust_Ratio,Anomaly,Norm_Air,Norm_Dust,Norm_Product,Kitchen_Penalty,Weighted_Score,AI_Score,AI_Category
95802,28.5,85.0,314.7,130.6,indoor,24.225,41099.82,5.754792395563946,4.879767018891217,2.391337386018237,-1,0.12588,0.5224,0.065759712,0.0,0.2652143568,108.7,MODERATE
100802,28.5,85.0,204.5,124.2,indoor,24.225,25398.9,5.32544603393629,4.829912458665998,1.6333865814696484,-1,0.0818,0.4968,0.04063824,0.0,0.234655736,94.4,GOOD
106202,28.5,85.0,5000.0,124.1,indoor,24.225,620500.0,8.517393171418904,4.829113417472866,39.96802557953637,-1,2.0,0.49639999999999995,0.9928,0.0,1.298128,500.0,HAZARDOUS
110802,28.5,85.0,154.0,121.6,indoor,24.225,18726.4,5.043425116919247,4.808927023502111,1.2561174551386625,-1,0.0616,0.4864,0.029962239999999998,0.0,0.22107033599999998,88.1,GOOD
115802,28.5,85.0,218.9,122.3,indoor,24.225,26771.47,5.393172897560715,4.814620410170298,1.775344687753447,-1,0.08756,0.48919999999999997,0.042834352,0.0,0.2360779528,95.1,GOOD
120802,28.5,85.0,233.9,122.9,indoor,24.225,28746.31,5.459159891664867,4.819474788635096,1.887812752219532,-1,0.09356,0.49160000000000004,0.045994096000000005,0.0,0.23995991439999997,96.9,GOOD
125802,28.5,85.0,218.9,122.1,indoor,24.225,26727.69,5.393172897560715,4.812997033190408,1.7782290820471165,-1,0.08756,0.4884,0.042764303999999996,0.0,0.23589144559999997,95.0,GOOD
130802,28.5,85.0,204.5,122.1,indoor,24.225,24969.45,5.32544603393629,4.812997033190408,1.661251015434606,-1,0.0818,0.4884,0.03995111999999999,0.0,0.232704668,93.5,GOOD
135802,28.5,85.0,186.5,121.9,indoor,24.225,22734.35,5.233778845410465,4.811371016571989,1.517493897477624,-1,0.0746,0.48760000000000003,0.036374960000000005,0.0,0.228536244,91.6,GOOD
140802,28.5,85.0,182.2,121.4,indoor,24.225,22119.08,5.21057845224003,4.807294370078226,1.4885620915032678,-1,0.07288,0.48560000000000003,0.035390528,0.0,0.22712297920000002,90.9,GOOD
145802,28.5,85.0,169.7,121.1,indoor,24.225,20550.67,5.139907629800395,4.804840381116659,1.3898443898443895,-1,0.06788,0.4844,0.032881072,0.0,0.2240825608,89.5,GOOD
150802,28.5,85.0,161.7,120.9,indoor,24.225,19549.53,5.091908014224992,4.803201036487226,1.3264971287940934,-1,0.06468,0.48360000000000003,0.031279247999999996,0.0,0.2221302872,88.6,GOOD
